Unnamed,ID,Centroid,Footprint2D,State_Abbr,Area,Area2D,Height,Numfloors,WWR_surfaces,CZ,BuildingType,Standard,lat,lon,.points,index_right,City,address
1,147067210,40.7249504358931/-73.97401568527755,"POLYGON ((-73.9740695 40.7251301,-73.9741839 40.7251052,-73.974158 40.7250368,-73.9741474 40.7250391,-73.9741275 40.7249867,-73.9742573 40.7249584,-73.9742277 40.7248801,-73.9740545 40.7249178,-73.9740485 40.7249017,-73.9740322 40.7249052,-73.9739819 40.7247722,-73.9738791 40.7247945,-73.9739148 40.7248887,-73.9738458 40.7249037,-73.9738427 40.7248955,-73.97376 40.7249135,-73.9737928 40.7250003,-73.9739336 40.7249697,-73.9739576 40.7250332,-73.9740271 40.7250181,-73.9740695 40.7251301))",NY,99260,7090,121.062996,14,,4A,apartments,,40.72495044,-73.97401569,POINT (40.7249504358931 -73.97401568527755),,,465 East 10 Street
2,241822151,40.728491708220616/-73.98687540527783,"POLYGON ((-73.9868966 40.7283848,-73.9868184 40.7284916,-73.9868387 40.7285001,-73.9868129 40.7285353,-73.9868034 40.7285381,-73.9867741 40.7285781,-73.9868405 40.728606,-73.9868502 40.7285928,-73.9868766 40.7285567,-73.9869229 40.7284934,-73.9869775 40.7284188,-73.9868966 40.7283848))",NY,7200,1800,57.742784,4,,4A,apartments,,40.72849171,-73.98687541,POINT (40.728491708220616 -73.98687540527783),,,45 ST Marks Place
3,241822153,40.72806940238456/-73.98759957685058,"POLYGON ((-73.9873835 40.7280214,-73.9874112 40.728033,-73.9874589 40.7280528,-73.9875204 40.7280785,-73.9875587 40.7280945,-73.9876155 40.7281182,-73.9876516 40.7281332,-73.9877166 40.7281603,-73.9877687 40.728182,-73.9878155 40.7281172,-73.9876679 40.7280558,-73.9876126 40.7280327,-73.9875686 40.7280144,-73.9875146 40.7279919,-73.9874674 40.7279722,-73.9874305 40.7279568,-73.9873835 40.7280214))",NY,16200,3240,61.023624,5,,4A,apartments,,40.7280694,-73.98759958,POINT (40.72806940238456 -73.98759957685058),,,122 2 Avenue
4,241822157,40.72763289291787/-73.98677646720358,"POLYGON ((-73.9867942 40.7275348,-73.9866861 40.7276847,-73.9867228 40.7277001,-73.9867041 40.7277261,-73.9867439 40.7277427,-73.9867665 40.7277113,-73.9867874 40.7276823,-73.9867758 40.7276775,-73.9867826 40.7276681,-73.986798 40.7276745,-73.9868498 40.7276026,-73.9868745 40.7275683,-73.9867942 40.7275348))",NY,6680,1670,57.4147,4,,4A,apartments,,40.72763289,-73.98677647,POINT (40.72763289291787 -73.98677646720358),,,65 East 7 Street
5,241822159,40.728513947988226/-73.98695701712452,"POLYGON ((-73.9868766 40.7285567,-73.9868502 40.7285928,-73.9869112 40.7286184,-73.986926 40.7285982,-73.9869756 40.7285303,-73.986991 40.7285368,-73.9870539 40.7284509,-73.9869775 40.7284188,-73.9869229 40.7284934,-73.9869422 40.7285015,-73.9868959 40.7285648,-73.9868766 40.7285567))",NY,8400,1400,72.17848,6,,4A,apartments,,40.72851395,-73.98695702,POINT (40.728513947988226 -73.98695701712452),,,43 ST Marks Place
6,241822162,40.72866284732801/-73.98716752551407,"POLYGON ((-73.9871717 40.7286365,-73.9871199 40.7287073,-73.9872995 40.7287828,-73.9873221 40.7287923,-73.9873318 40.7287791,-73.9873872 40.7287033,-73.9873805 40.7287005,-73.9873646 40.7286938,-73.9873336 40.7286807,-73.9872481 40.7286448,-73.9871963 40.7286231,-73.9871722 40.7286129,-73.9871431 40.7286007,-73.9870798 40.7285741,-73.986991 40.7285368,-73.9869756 40.7285303,-73.986926 40.7285982,-73.9871054 40.7286736,-73.9871417 40.7286239,-73.9871717 40.7286365))",NY,24120,4020,71.522312,6,,4A,apartments,,40.72866285,-73.98716753,POINT (40.72866284732801 -73.98716752551407),,,136 2 Avenue
7,241822167,40.72775116805119/-73.98617647781522,"POLYGON ((-73.9861118 40.7277631,-73.98608 40.727807,-73.9861601 40.7278405,-73.9862718 40.7276857,-73.9862095 40.7276597,-73.9861845 40.7276944,-73.9861861 40.727703,-73.9861836 40.7277065,-73.9861599 40.7276966,-73.9861306 40.7277371,-73.9861409 40.7277414,-73.9861221 40.7277674,-73.9861118 40.7277631))",NY,7350,1470,57.086616,5,,4A,apartments,,40.72775117,-73.98617648,POINT (40.72775116805119 -73.98617647781522),,,70 ST Marks Place
8,241822169,40.72775623394223/-73.98709740354558,"POLYGON ((-73.9871064 40.7276711,-73.987085 40.7277007,-73.9870637 40.7277303,-73.9870782 40.7277364,-73.987065 40.7277547,-73.9870505 40.7277486,-73.9870078 40.7278078,-73.9870868 40.7278407,-73.9871014 40.7278205,-73.9871409 40.7277656,-73.9871506 40.7277522,-73.9871854 40.727704,-73.9871064 40.7276711))",NY,6850,1370,57.086616,5,,4A,apartments,,40.72775623,-73.9870974,POINT (40.72775623394223 -73.98709740354558),,,57 East 7 Street
9,241822171,40.728747418180326/-73.98668112429316,"POLYGON ((-73.9866501 40.7287217,-73.9865801 40.7288174,-73.9866577 40.72885,-73.9866802 40.7288192,-73.9866711 40.7288153,-73.9867024 40.7287725,-73.9867116 40.7287763,-73.9867276 40.7287544,-73.9867245 40.7287423,-73.9867828 40.7286625,-73.9867258 40.7286386,-73.9866675 40.7287182,-73.9866501 40.7287217))",NY,9540,1590,66.272968,6,,4A,apartments,,40.72874742,-73.98668112,POINT (40.728747418180326 -73.98668112429316),,,312 East 9 Street
10,241822173,40.72762867372149/-73.98595203092809,"POLYGON ((-73.9859343 40.7275827,-73.9858445 40.7277072,-73.9859227 40.7277397,-73.9860127 40.7276153,-73.9860056 40.7276016,-73.986017 40.7275857,-73.9860301 40.7275912,-73.9860378 40.7275806,-73.9860616 40.7275473,-73.9859834 40.7275146,-73.9859518 40.7275585,-73.9859645 40.7275638,-73.9859531 40.7275797,-73.9859343 40.7275827))",NY,9450,1890,59.05512,5,,4A,apartments,,40.72762867,-73.98595203,POINT (40.72762867372149 -73.98595203092809),,,76 ST Marks Place
11,241822174,40.728323320181204/-73.98647937604312,"POLYGON ((-73.9863824 40.7283835,-73.9863689 40.7284019,-73.9864469 40.7284347,-73.9864569 40.7284211,-73.9864494 40.728418,-73.9864714 40.7283812,-73.9864917 40.7283797,-73.9865841 40.7282535,-73.9865026 40.7282192,-73.9864103 40.7283453,-73.9864183 40.7283588,-73.9863961 40.7283892,-73.9863824 40.7283835))",NY,10860,1810,71.194228,6,,4A,apartments,,40.72832332,-73.98647938,POINT (40.728323320181204 -73.98647937604312),,,55 ST Marks Place
12,241822176,40.72756053855633/-73.98661669503592,"POLYGON ((-73.9865783 40.7275469,-73.9865269 40.7276183,-73.986505 40.7276485,-73.9865604 40.7276717,-73.9866177 40.7275923,-73.9866417 40.7276023,-73.9867144 40.7275015,-73.9867232 40.7274893,-73.9866437 40.7274562,-73.9866372 40.7274652,-73.9865964 40.7275219,-73.986635 40.727538,-73.9866169 40.7275631,-73.9865783 40.7275469))",NY,8050,1610,56.102364,5,,4A,apartments,,40.72756054,-73.9866167,POINT (40.72756053855633 -73.98661669503592),,,69 East 7 Street
13,241822178,40.72782703079045/-73.98724457794643,"POLYGON ((-73.987281 40.7277174,-73.9872315 40.727786,-73.9872218 40.7277994,-73.987182 40.7278547,-73.9871403 40.7279124,-73.9872159 40.727944,-73.9872495 40.7278973,-73.9872526 40.727893,-73.9872223 40.7278804,-73.9872192 40.7278685,-73.9872669 40.7278024,-73.9872809 40.7277991,-73.9873112 40.7278117,-73.9873442 40.727766,-73.9873565 40.7277489,-73.987281 40.7277174))",NY,7550,1510,61.023624,5,,4A,apartments,,40.72782703,-73.98724458,POINT (40.72782703079045 -73.98724457794643),,,53 East 7 Street
14,241822181,40.72779572437712/-73.98634748211724,"POLYGON ((-73.9863309 40.7277481,-73.9862401 40.727874,-73.9863185 40.7279067,-73.9863553 40.7278557,-73.9864093 40.7277808,-73.9864031 40.7277692,-73.9864157 40.7277517,-73.9864269 40.7277564,-73.9864298 40.7277524,-73.9864569 40.7277149,-73.9863785 40.7276821,-73.9863485 40.7277236,-73.9863585 40.7277278,-73.9863459 40.7277454,-73.9863309 40.7277481))",NY,9500,1900,62.33596,5,,4A,apartments,,40.72779572,-73.98634748,POINT (40.72779572437712 -73.98634748211724),,,66 ST Marks Place
15,241822183,40.72860602112774/-73.98634899691217,"POLYGON ((-73.9862656 40.7286155,-73.9862267 40.7286689,-73.9863452 40.7287186,-73.9863842 40.7286653,-73.9863615 40.7286558,-73.9863573 40.7286439,-73.986365 40.7286334,-73.9863749 40.7286375,-73.9864633 40.7285167,-73.9863872 40.7284847,-73.9862988 40.7286055,-73.9863106 40.7286105,-73.9863029 40.728621,-73.9862881 40.728625,-73.9862656 40.7286155))",NY,13020,2170,63.320212,6,,4A,apartments,,40.72860602,-73.986349,POINT (40.72860602112774 -73.98634899691217),,,324 East 9 Street
